City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,harstad,68.799,16.5293,271.57,92,68,1.64,NO,1702337416
290,fort st. john,56.2499,-120.8529,272.09,55,40,8.23,CA,1702337135
291,grahamstown,-33.3042,26.5328,287.01,94,7,2.08,ZA,1702337377
292,port moresby,-9.4431,147.1797,302.83,70,20,5.14,PG,1702337415
293,kuta,-8.7233,115.1723,300.12,83,20,3.13,ID,1702337083
294,pimenta bueno,-11.6725,-61.1936,298.45,86,84,1.11,BR,1702337201
295,centerville,39.6284,-84.1594,274.4,81,4,2.66,US,1702337420
296,trinidad,-14.8333,-64.9,301.14,83,75,2.06,BO,1702337144
297,amarwara,22.3,79.1667,286.69,67,50,0.3,IN,1702337421
298,inhambane,-23.865,35.3833,298.9,95,100,4.82,MZ,1702337422
299,lysyye gory,51.5506,44.8414,264.27,55,100,9.52,RU,1702337423
300,antsiranana,-12.2787,49.2917,298.61,83,19,4.79,MG,1702337072
301,sovetskaya gavan',48.9723,140.2878,251.54,77,27,4.92,RU,1702337424
302,al fuwayliq,26.4432,43.2534,289.39,27,100,4.62,SA,1702337424
303,salalah,17.0151,54.0924,295.2,28,0,3.09,OM,1702337425
304,toliara,-23.35,43.6667,297.98,72,50,2.83,MG,1702337426
305,keflavik,64.0049,-22.5624,271.39,80,20,2.57,IS,1702337074
306,mount gambier,-37.8333,140.7667,297.57,60,60,3.76,AU,1702336804
307,kiknur,57.3034,47.2011,257.94,84,100,7.96,RU,1702337428
308,dolinsk,47.35,142.8,262.44,78,88,1.39,RU,1702337429
309,roma,43.2128,-75.4557,274.24,76,100,7.72,US,1702337430
310,turkmenbasy,40.0222,52.9552,272.58,64,100,8.75,TM,1702337430
311,saudarkrokur,65.7461,-19.6394,269.16,91,100,0.52,IS,1702337431
312,kislyakovskaya,46.4417,39.675,275.4,82,100,8.65,RU,1702337431
313,mogocha,53.7333,119.7667,237.98,98,6,1.31,RU,1702337432
314,dunay,42.8803,132.3375,260.77,63,73,11.76,RU,1702337433
315,zhalantun,48.0,122.7167,247.47,90,35,2.32,CN,1702337433
316,suva,-18.1416,178.4415,300.86,61,20,4.63,FJ,1702337434
317,fort stockton,30.894,-102.8793,292.46,16,0,4.12,US,1702337435
318,pijijiapan,15.7011,-93.23,297.75,65,98,6.97,MX,1702337436
319,bukama,-9.2,25.85,294.84,97,100,0.5,CD,1702337436
320,pokhara,28.2333,83.9833,286.08,53,91,1.68,NP,1702337437
321,lazaro cardenas,17.9583,-102.2,302.39,58,78,2.72,MX,1702337120
322,luchegorsk,46.4764,134.2569,248.88,94,100,1.26,RU,1702337438
323,iskateley,67.6803,53.1512,258.89,91,100,8.12,RU,1702337063
324,lichinga,-13.3128,35.2406,292.2,88,40,3.09,MZ,1702337439
325,kutum,14.2,24.6667,289.42,23,75,5.26,SD,1702337439
326,pavilosta,56.8879,21.1859,272.1,97,100,3.67,LV,1702337440
327,port douglas,-16.4833,145.4667,304.12,60,68,1.87,AU,1702337440
328,chunskiy,56.0815,99.6342,240.19,100,25,0.25,RU,1702337441
329,vilyuchinsk,52.9306,158.4028,265.3,84,17,3.5,RU,1702337117
330,nizhnyaya poyma,56.1622,97.1933,237.52,100,42,0.7,RU,1702337442
331,san andres,12.5847,-81.7006,302.16,84,75,5.66,CO,1702337442
332,revda,56.801,59.9303,241.14,96,73,1.39,RU,1702337443
333,bol'shoye murashkino,55.7826,44.7754,261.84,92,100,9.42,RU,1702337443
334,zlatoust,55.1711,59.6508,239.25,93,32,1.61,RU,1702337444
335,kuala tungkal,-0.8167,103.4667,297.93,93,95,2.4,ID,1702337445
336,sao joao da barra,-21.6403,-41.0511,298.2,93,100,4.18,BR,1702337112
337,kyzylorda,44.8528,65.5092,251.16,64,0,6.0,KZ,1702337346
338,balotra,25.8333,72.2333,291.16,29,6,1.6,IN,1702337446
339,portland,45.5234,-122.6762,285.14,92,100,1.54,US,1702337109
340,masterton,-40.9597,175.6575,289.75,42,49,3.93,NZ,1702337447
341,hobyo,5.3505,48.5268,299.77,74,98,7.41,SO,1702337447
342,antonio enes,-16.2325,39.9086,299.05,82,66,3.26,MZ,1702337448
343,mil'kovo,55.6078,37.7956,267.83,93,100,6.57,RU,1702337448
344,sittwe,20.15,92.9,293.04,83,9,1.53,MM,1702337125
345,callao,-12.0667,-77.15,297.44,73,40,5.14,PE,1702336843
346,piton saint-leu,-21.2196,55.3151,295.21,69,40,2.57,RE,1702337449
347,paita,-5.0892,-81.1144,294.31,83,15,6.93,PE,1702337450
348,marti,22.9475,-80.9203,295.91,74,100,5.35,CU,1702337451
349,keetmanshoop,-26.5833,18.1333,295.66,28,0,2.06,NA,1702337451
350,yung shue wan,22.2333,114.1167,296.86,86,0,2.21,HK,1702337090
351,fort mcmurray,56.7268,-111.381,261.92,67,0,1.03,CA,1702337452
352,puerto colombia,10.9878,-74.9547,300.2,85,3,9.59,CO,1702337452
353,holualoa,19.6228,-155.9522,300.12,80,40,4.12,US,1702337084
354,rayachoti,14.05,78.75,292.2,96,82,1.32,IN,1702337453
355,nchelenge,-9.3451,28.734,295.22,86,100,1.68,ZM,1702337454
356,el alto,-4.2714,-81.2147,294.96,81,21,6.88,PE,1702337454
357,morsi,21.3392,78.0131,289.68,66,32,1.47,IN,1702337455
358,tinambac,13.8164,123.3261,300.6,80,72,3.47,PH,1702337456
359,san pedro,14.35,121.0167,301.1,81,20,3.13,PH,1702337456
360,sieradz,51.5958,18.7302,278.53,97,100,6.83,PL,1702337457
361,saint-leu,-21.15,55.2833,296.63,96,24,3.98,RE,1702337457
362,kerikeri,-35.2268,173.9474,294.77,62,26,2.24,NZ,1702337139
